poet,rank,neighbor,similarity
أوس بن حارثة,2,الهبل بن عامر,0.870884895324707
أوس بن حارثة,3,الأدير الكلبي,0.8644227981567383
أوس بن حارثة,4,الأسود النهشلي,0.8617035150527954
أوس بن حارثة,5,أبو الذيال اليهودي,0.8613779544830322
أوس بن حجر,1,زيد الخيل الطائي,0.9998335838317871
أوس بن حجر,2,الطفيل الغنوي,0.9997530579566956
أوس بن حجر,3,الحصين بن حمام الفزاري,0.9997366666793823
أوس بن حجر,4,قيس بن الحدادية,0.9996747374534607
أوس بن حجر,5,تأبط شراً,0.9996296763420105
ابن أم حزنة,1,الأفوة الأودي,0.9978009462356567
ابن أم حزنة,2,عمرو بن كلثوم,0.9977232217788696
ابن أم حزنة,3,بشر بن أبي خازم,0.9976209402084351
ابن أم حزنة,4,زهير بن أبي سلمى,0.9975537061691284
ابن أم حزنة,5,قيس بن الحدادية,0.9974451065063477
ابن الأطنابة,1,الأعسر الضبي,0.9740709662437439
ابن الأطنابة,2,الفند الزماني,0.9738528728485107
ابن الأطنابة,3,الجميح الأسدي,0.9705483317375183
ابن الأطنابة,4,الأسلوم اليامي,0.9698339104652405
ابن الأطنابة,5,حاجز الأزدي,0.9672462940216064
ابن الرعلاء,1,المنخل اليشكري,0.9925674796104431
ابن الرعلاء,2,الزفيان,0.9919849038124084
ابن الرعلاء,3,معقر بن حمار البارقي,0.9918074607849121
ابن الرعلاء,4,السفاح التغلبي,0.9914839863777161
ابن الرعلاء,5,ابو دُاود الإيادي,0.991463303565979
ابن العجلان النهدي,1,زبان بن سيار الفزاري,0.9986257553100586
ابن العجلان النهدي,2,عدي بن ربيعة,0.9986206293106079
ابن العجلان النهدي,3,المتلمس الضبعي,0.9984957575798035
ابن العجلان النهدي,4,زهير بن أبي سلمى,0.9983965754508972
ابن العجلان النهدي,5,دريد بن الصمة,0.9983762502670288
ابن المضلَّل,1,معقر بن حمار البارقي,0.9969493746757507
ابن المضلَّل,2,أحيحة بن الجلاح,0.9964389801025391
ابن المضلَّل,3,امرؤ القيس,0.9957019090652466
ابن المضلَّل,4,عدي بن زيد,0.9955752491950989
ابن المضلَّل,5,حاجز الأزدي,0.9954900145530701
ابن ثور العامري,1,دريد بن الصمة,0.9971420764923096
ابن ثور العامري,2,النابغة الذبياني,0.997130811214447
ابن ثور العامري,3,طرفة بن العبد,0.9970740079879761
ابن ثور العامري,4,الحصين بن حمام الفزاري,0.9970414638519287
ابن ثور العامري,5,عمرو بن قميئة,0.9969446659088135
ابن جوين الطائي,1,جحيش الهمداني,0.9944685697555542
ابن جوين الطائي,2,الزفيان,0.9939305186271667
ابن جوين الطائي,3,ذؤيب بن كعب,0.9926424622535706
ابن جوين الطائي,4,الحسل الهمداني,0.9923705458641052
ابن جوين الطائي,5,ابن مالك الحميري,0.9923118948936462
